,x,y,z,fc1,fc2,fc3,fc4,fc5,fc6,fc7,fc8,fc9,fc10,falff,reho,dx,idx
0,25.0,25.0,25.0,-0.07538186013698578,-0.10106562077999115,-0.28040629625320435,0.39060094952583313,-0.20112864673137665,-0.26279622316360474,-0.13473448157310486,0.3758631944656372,-0.10258147120475769,0.047413118183612823,0.7734725475311279,0.5905811786651611,1.0,71.0
1,25.0,25.0,26.0,-0.17213217914104462,-0.08733506500720978,-0.22291480004787445,0.4771864116191864,-0.12312143296003342,-0.1444665640592575,0.0333770290017128,0.25434014201164246,-0.21932342648506165,-0.007633706089109182,0.7892312407493591,0.591508150100708,1.0,71.0
2,25.0,25.0,27.0,-0.2229490578174591,-0.08623085916042328,-0.21417589485645294,0.4887314438819885,-0.14114747941493988,-0.07910449802875519,0.12689629197120667,0.22228586673736572,-0.21338202059268951,-0.03140179067850113,0.7896385192871094,0.5962748527526855,1.0,71.0
3,25.0,25.0,28.0,-0.2164086401462555,-0.042375583201646805,-0.20182695984840393,0.3860037922859192,-0.2496616393327713,-0.0821511298418045,0.11333262175321579,0.30196550488471985,-0.10519575327634811,0.004588037729263306,0.8066419959068298,0.6318657398223877,1.0,71.0
4,25.0,25.0,29.0,-0.14473214745521545,0.05155671015381813,-0.1408388465642929,0.2928130030632019,-0.27911752462387085,-0.01650993898510933,-0.01035107858479023,0.2728349566459656,-0.12825161218643188,0.04698150232434273,0.7733026742935181,0.5636062622070312,1.0,71.0
5,25.0,26.0,25.0,-0.06754784286022186,-0.053653232753276825,-0.36421623826026917,0.2812565565109253,-0.17085495591163635,-0.11115339398384094,-0.04467988386750221,0.4396340847015381,-0.19572632014751434,-0.06373824924230576,0.7777455449104309,0.525414228439331,1.0,71.0
6,25.0,26.0,26.0,-0.2547401785850525,-0.022074168547987938,-0.1980554759502411,0.40894338488578796,-0.05066687986254692,0.014669903554022312,0.13818837702274323,0.11810404062271118,-0.2753063142299652,-0.08581877499818802,0.7977908849716187,0.5133037567138672,1.0,71.0
7,25.0,26.0,27.0,-0.2775789201259613,-0.007647511083632708,-0.12470724433660507,0.43848636746406555,-0.07369764894247055,0.01393066719174385,0.16647817194461823,0.09937320649623871,-0.23860684037208557,-0.10339999943971634,0.7527574896812439,0.5538311004638672,1.0,71.0
8,25.0,26.0,28.0,-0.27074623107910156,0.06587310135364532,-0.07778150588274002,0.29905423521995544,-0.21098634600639343,0.0450788177549839,0.1653003841638565,0.18959228694438934,-0.16750197112560272,-0.0671200081706047,0.756290853023529,0.600583553314209,1.0,71.0
9,25.0,26.0,29.0,-0.1351957619190216,0.0906679630279541,-0.030444465577602386,0.11777894198894501,-0.2770206928253174,0.18275250494480133,0.1103580966591835,0.12169420719146729,-0.1624450534582138,0.01922723837196827,0.7367886304855347,0.5879297256469727,1.0,71.0
10,25.0,27.0,25.0,-0.02660916931927204,-0.10582254827022552,-0.46947264671325684,0.1164051815867424,-0.13539904356002808,-0.09391510486602783,0.01126527227461338,0.44096386432647705,-0.11140777170658112,-0.11690516769886017,0.7762729525566101,0.49634408950805664,1.0,71.0
11,25.0,27.0,26.0,-0.29041939973831177,-0.03417237475514412,-0.2044065296649933,0.2394578456878662,-0.03497953712940216,0.06394119560718536,0.18856292963027954,0.10870401561260223,-0.14962975680828094,-0.130411297082901,0.7888574600219727,0.47398972511291504,1.0,71.0
12,25.0,27.0,27.0,-0.3013290762901306,0.0187399759888649,-0.07103281468153,0.2950594425201416,-0.09491986781358719,0.10308656096458435,0.19702211022377014,0.10400103032588959,-0.17810672521591187,-0.1441112756729126,0.7448253035545349,0.5393812656402588,1.0,71.0
13,25.0,27.0,28.0,-0.3106430470943451,0.11126641929149628,-0.06264068186283112,0.18160419166088104,-0.2254074513912201,0.06287671625614166,0.15209108591079712,0.1412508487701416,-0.12371471524238586,-0.186884343624115,0.7563087940216064,0.6076745986938477,1.0,71.0
14,25.0,27.0,29.0,-0.2537250220775604,0.15409418940544128,-0.0029070887248963118,0.01895189844071865,-0.28147196769714355,0.16178502142429352,0.03687486797571182,0.04264010861515999,-0.09860245883464813,-0.04729398339986801,0.7663964629173279,0.6112916469573975,1.0,71.0
15,25.0,28.0,25.0,-0.04531513527035713,-0.19345378875732422,-0.4668797254562378,0.05184219405055046,-0.17295415699481964,-0.19656959176063538,-0.02531440369784832,0.4612486958503723,0.04909362271428108,-0.08695138245820999,0.7018975615501404,0.46781134605407715,1.0,71.0
16,25.0,28.0,26.0,-0.2693008482456207,-0.122199647128582,-0.2568392753601074,0.21062467992305756,-0.05873439833521843,0.07704024016857147,0.1706712543964386,0.26350682973861694,-0.08449631184339523,-0.15459996461868286,0.7660658955574036,0.4948291778564453,1.0,71.0
17,25.0,28.0,27.0,-0.26101937890052795,-0.01287434808909893,-0.04690840467810631,0.13123977184295654,-0.12661562860012054,0.18892766535282135,0.16251322627067566,0.16229835152626038,-0.11873111128807068,-0.09993322938680649,0.7591886520385742,0.5783059597015381,1.0,71.0
18,25.0,28.0,28.0,-0.2875921428203583,0.007750556338578463,-0.03784797713160515,0.04956955090165138,-0.23486030101776123,0.11949142068624496,0.09101170301437378,0.13259638845920563,-0.02343958057463169,-0.06987953931093216,0.7544790506362915,0.6576685905456543,1.0,71.0
